date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2017-07-23 00:00:00'",160.97,160.54,161.95,0.0,0.12,0.0,0.05,13353.96,251.78,62.12,180.08,13644.02,15228.01,1392
"'2017-07-24 00:00:00'",185.56,185.56,188.44,0.0,0.12,0.0,0.05,13188.81,11.9,63.64,155.45,13592.43,15176.43,1393
"'2017-07-25 00:00:00'",188.26,188.29,191.69,0.34,0.37,0.0,0.0,13116.72,15.3,64.48,262.64,13636.56,15220.54,1394
"'2017-07-26 00:00:00'",187.26,187.06,191.49,0.7,0.67,0.0,0.0,13201.5,55.19,67.72,225.70,13643.78,15227.76,1395
"'2017-07-27 00:00:00'",187.81,187.83,192.87,0.73,1.01,0.0,0.0,13260.19,84.15,64.92,197.95,13648.17,15232.16,1396
"'2017-07-28 00:00:00'",189.27,188.87,192.54,0.58,0.59,0.0,0.0,13162.54,91.55,65.72,223.59,13686.29,15270.27,1397
"'2017-07-29 00:00:00'",181.16,181.16,182.04,0.35,0.25,0.0,0.0,13238.03,10.3,66.37,179.72,13697.43,15281.41,1398
"'2017-07-30 00:00:00'",161.76,161.62,159.43,0.0,0.1,0.0,0.0,13221.78,971.2,68.75,214.62,13756.45,15340.46,1399
"'2017-07-31 00:00:00'",185.27,185.27,178.68,0.83,0.75,0.0,0.0,13429.33,9.56,81.99,199.12,13763.48,15347.49,1400
"'2017-08-01 00:00:00'",188.1,188.14,184.25,1.15,1.11,0.0,0.0,13348.84,192.6,100.99,166.55,13764.06,15348.07,1401
"'2017-08-02 00:00:00'",190.18,190.61,189.92,0.64,0.38,0.0,0.0,13467.42,1.15,75.28,143.18,13720.11,15304.10,1402
"'2017-08-03 00:00:00'",190.78,190.99,193.56,0.65,0.69,0.0,0.0,13588.9,44.85,256.33,132.78,13657.65,15241.62,1403
"'2017-08-04 00:00:00'",190.76,190.77,190.97,0.07,0.12,0.0,0.06,13759.71,ND,64.51,212.20,13677.36,15261.35,1404
"'2017-08-05 00:00:00'",179.73,179.73,177.29,0.0,0.06,0.0,0.0,13758.74,66.2,62.83,145.01,13638.87,15222.86,1405
"'2017-08-06 00:00:00'",160.59,160.59,161.92,0.0,0.11,0.0,0.05,13523.33,ND,61.53,127.39,13605.74,15189.73,1406
"'2017-08-07 00:00:00'",166.09,166.09,168.86,0.0,0.0,1.79,1.65,13467.46,194.51,62.12,153.58,13588.07,15172.07,1407
"'2017-08-08 00:00:00'",189.83,189.83,194.65,0.0,0.0,2.4,2.07,13710.61,58.54,66.22,181.24,13557.38,15141.38,1408
"'2017-08-09 00:00:00'",190.8,190.8,192.8,0.0,0.0,1.76,2.07,13554.71,54.38,66.6,243.88,13596.74,15169.36,1409
"'2017-08-10 00:00:00'",189.97,190.27,192.14,0.0,0.0,1.42,1.66,13545.56,ND,66.0,155.79,13549.01,15121.59,1410
"'2017-08-11 00:00:00'",189.6,189.6,191.38,0.0,0.0,0.37,0.58,13520.01,28.37,62.51,171.63,13525.38,15097.98,1411
"'2017-08-12 00:00:00'",178.63,178.63,178.05,0.0,0.0,0.21,0.15,13249.9,40.6,64.13,204.70,13536.33,15108.95,1412
"'2017-08-13 00:00:00'",160.69,160.69,162.2,0.0,0.09,0.0,0.17,13069.96,121.11,62.61,124.83,13491.59,15064.18,1413
"'2017-08-14 00:00:00'",188.1,188.44,191.99,0.35,0.4,0.0,0.0,13199.19,25.19,63.73,112.44,13413.79,14986.40,1414
"'2017-08-15 00:00:00'",189.18,189.18,195.09,0.6,0.64,0.0,0.0,13359.4,137.0,67.98,117.86,13346.47,14919.07,1415
"'2017-08-16 00:00:00'",190.92,190.92,191.86,0.56,0.55,0.0,0.0,13405.07,27.67,130.76,159.20,13319.55,14892.17,1416
"'2017-08-17 00:00:00'",189.02,188.26,194.12,2.4,2.27,0.0,0.0,13417.26,608.37,75.76,123.11,13259.17,14831.78,1417
"'2017-08-18 00:00:00'",190.91,190.91,196.15,0.0,0.09,0.0,0.12,13545.86,28.3,87.97,126.05,13190.83,14763.45,1418
"'2017-08-19 00:00:00'",180.48,180.48,181.51,0.0,0.13,0.0,0.05,13707.83,28.69,104.34,172.02,13188.28,14760.90,1419
"'2017-08-20 00:00:00'",160.07,160.07,159.73,0.0,0.12,0.0,0.06,13700.33,142.02,94.29,158.74,13179.96,14752.59,1420
"'2017-08-21 00:00:00'",162.28,162.28,162.38,0.0,0.11,0.0,0.05,13592.64,634.22,103.12,140.01,13090.85,14663.48,1421
"'2017-08-22 00:00:00'",189.35,189.35,187.9,0.0,0.12,0.0,0.06,13671.93,ND,102.69,148.37,13098.48,14671.08,1422
"'2017-08-23 00:00:00'",190.72,190.72,189.97,0.0,0.12,0.0,0.06,13672.09,403.16,101.44,122.08,13045.95,14618.56,1423
"'2017-08-24 00:00:00'",192.48,192.48,190.28,0.0,0.12,0.0,0.05,13491.51,317.23,109.68,160.94,13037.06,14609.66,1424
"'2017-08-25 00:00:00'",191.35,191.35,189.41,0.0,0.11,0.0,0.05,13784.88,85.91,129.02,126.71,12991.57,14564.17,1425
"'2017-08-26 00:00:00'",181.78,181.78,182.09,0.0,0.11,0.0,0.05,13589.0,106.94,109.45,130.95,12964.40,14536.99,1426
